,employeeid,attrition,age,businesstravel,department,distancefromhome,education,educationfield,employeecount,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,over18,percentsalaryhike,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,environmentsatisfaction,jobsatisfaction,worklifebalance,jobinvolvement,performancerating,mean_time
0,1.0,No,51.0,Travel_Rarely,Sales,6.0,2,Life Sciences,1.0,Female,1,Healthcare Representative,Married,131160.0,1.0,Y,11.0,8.0,0,1.0,6.0,1.0,0.0,0.0,3.0,4.0,2.0,3,3,7.373650622605362
1,2.0,Yes,31.0,Travel_Frequently,Research & Development,10.0,1,Life Sciences,1.0,Female,1,Research Scientist,Single,41890.0,0.0,Y,23.0,8.0,1,6.0,3.0,5.0,1.0,4.0,3.0,2.0,4.0,2,4,7.718968926553678
2,3.0,No,32.0,Travel_Frequently,Research & Development,17.0,4,Other,1.0,Male,4,Sales Executive,Married,193280.0,1.0,Y,15.0,8.0,3,5.0,2.0,5.0,0.0,3.0,2.0,2.0,1.0,3,3,7.013240358126724
3,4.0,No,38.0,Non-Travel,Research & Development,2.0,5,Life Sciences,1.0,Male,3,Human Resources,Married,83210.0,3.0,Y,11.0,8.0,3,13.0,5.0,8.0,7.0,5.0,4.0,4.0,3.0,2,3,7.193678486997636
4,5.0,No,32.0,Travel_Rarely,Research & Development,10.0,1,Medical,1.0,Male,1,Sales Executive,Single,23420.0,4.0,Y,12.0,8.0,2,9.0,2.0,6.0,0.0,4.0,4.0,1.0,3.0,3,3,8.006174603174605
5,6.0,No,46.0,Travel_Rarely,Research & Development,8.0,3,Life Sciences,1.0,Female,4,Research Director,Married,40710.0,3.0,Y,13.0,8.0,0,28.0,5.0,7.0,7.0,7.0,3.0,2.0,2.0,3,3,10.796095874355366
6,7.0,Yes,28.0,Travel_Rarely,Research & Development,11.0,2,Medical,1.0,Male,2,Sales Executive,Single,58130.0,2.0,Y,20.0,8.0,1,5.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,3,4,6.923570402298855
7,8.0,No,29.0,Travel_Rarely,Research & Development,18.0,3,Life Sciences,1.0,Male,2,Sales Executive,Married,31430.0,2.0,Y,22.0,8.0,3,10.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,3,4,6.7256207133059025
8,9.0,No,31.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,1.0,Male,3,Laboratory Technician,Married,20440.0,0.0,Y,21.0,8.0,0,10.0,2.0,9.0,7.0,8.0,2.0,4.0,3.0,3,4,7.236498792270526
9,10.0,No,25.0,Non-Travel,Research & Development,7.0,4,Medical,1.0,Female,4,Laboratory Technician,Divorced,134640.0,1.0,Y,13.0,8.0,1,6.0,2.0,6.0,1.0,5.0,2.0,1.0,3.0,3,3,7.080087844254505
