,attrition,age,distancefromhome,monthlyincome,numcompaniesworked,percentsalaryhike,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,mean_time,businesstravel_Non-Travel,businesstravel_Travel_Frequently,businesstravel_Travel_Rarely,department_Human Resources,department_Research & Development,department_Sales,education_1,education_2,education_3,education_4,education_5,educationfield_Human Resources,educationfield_Life Sciences,educationfield_Marketing,educationfield_Medical,educationfield_Other,educationfield_Technical Degree,gender_Female,gender_Male,joblevel_1,joblevel_2,joblevel_3,joblevel_4,joblevel_5,jobrole_Healthcare Representative,jobrole_Human Resources,jobrole_Laboratory Technician,jobrole_Manager,jobrole_Manufacturing Director,jobrole_Research Director,jobrole_Research Scientist,jobrole_Sales Executive,jobrole_Sales Representative,maritalstatus_Divorced,maritalstatus_Married,maritalstatus_Single,stockoptionlevel_0,stockoptionlevel_1,stockoptionlevel_2,stockoptionlevel_3,environmentsatisfaction_1.0,environmentsatisfaction_2.0,environmentsatisfaction_3.0,environmentsatisfaction_4.0,jobsatisfaction_1.0,jobsatisfaction_2.0,jobsatisfaction_3.0,jobsatisfaction_4.0,worklifebalance_1.0,worklifebalance_2.0,worklifebalance_3.0,worklifebalance_4.0,jobinvolvement_1,jobinvolvement_2,jobinvolvement_3,jobinvolvement_4,performancerating_3,performancerating_4
0,0,51.0,6.0,131160.0,1.0,11.0,1.0,6.0,1.0,0.0,0.0,7.373650622605362,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
1,1,31.0,10.0,41890.0,0.0,23.0,6.0,3.0,5.0,1.0,4.0,7.718968926553678,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
2,0,32.0,17.0,193280.0,1.0,15.0,5.0,2.0,5.0,0.0,3.0,7.013240358126724,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
3,0,38.0,2.0,83210.0,3.0,11.0,13.0,5.0,8.0,7.0,5.0,7.193678486997636,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
4,0,32.0,10.0,23420.0,4.0,12.0,9.0,2.0,6.0,0.0,4.0,8.006174603174605,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
5,0,46.0,8.0,40710.0,3.0,13.0,28.0,5.0,7.0,7.0,7.0,10.796095874355366,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
6,1,28.0,11.0,58130.0,2.0,20.0,5.0,2.0,0.0,0.0,0.0,6.923570402298855,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
7,0,29.0,18.0,31430.0,2.0,22.0,10.0,2.0,0.0,0.0,0.0,6.725620713305903,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
8,0,31.0,1.0,20440.0,0.0,21.0,10.0,2.0,9.0,7.0,8.0,7.236498792270526,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
9,0,25.0,7.0,134640.0,1.0,13.0,6.0,2.0,6.0,1.0,5.0,7.080087844254505,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
